Source_id,source,target
2918,बाल: त्वयि स्नेहं प्रकटयति ।,"""Boy displays affection in you(m,f)."""
2919,वयं Checkout/Return Book इत्यत्र क्लिक् कृतवन्तः ।,We clicked on Checkout/Return Book.
2920,हड़प्पाक्षेत्रे खनने एवं प्राप्यते यत प्राय: प्रत्येकगृहे शौचालयस्य व्यवस्था आसीत एते नगरस्य कन्द्रीयापवाहतन्त्रेण सह संयुक्ता: आसन एतासां दृढावकरं चतुर्कोषयुक्तेषु शुष्ककारगर्तेषु एकत्रीकरणार्थं स्थाप्यते ।,Recent excavations at Harappa have shown to have flushed toilets in almost every house and were linked to the respective city's central drainage network and the solid waste was discharged into a rectangular jar soak pit for collection .
2921,Services वीण्डौ मध्ये MySQL सर्वर्-नोड् इतीदं रैट्-क्लिक् कृत्वा Create Database.चिनोतु ।,"In the Services window, right-click the MySQL server node and choose Create Database."
2922,वयमधुना Interpolate विन्यासं दीप्यमानं कुर्मः । तच्चिन्वन्तु ।,Let us give some glow effect to the Interpolate design. Select the design.
2923,कौरवाणां पिता धृतराष्ट्रः ।,Kauravas father is dhritarashtra.
2924,"""ब्रह्मण्य: तप , वेद , ब्राह्मणादिनां हितकारी""","""Brahmanyo: The Vedas, Brahmanas and knowledge are indicated by the word Brahma. As the Lord promotes these, He is called Brahmanya."""
2925,"wc आदेशस्य standardin इत्यस्मिन् , सञ्चिकायां च जात: परिणाम: terminal - गवाक्षे दर्शित:भवति","From the last example, we have seen that the result of the wc command on a file or standardin is displayed at the terminal window."
2926,पश्चात् योहनः शिष्या आगत्य कायं नीत्वा श्मशाने स्थापयामासुस्ततो यीशोः सन्निधिं व्रजित्वा तद्वार्त्तां बभाषिरे।,"""And his disciples came, and took up the body, and buried it, and went and told Jesus."""
2927,इदम् औट्पुट् अस्माकं C कोड् इत्यस्य औट्पुट्-वदेव अस्ति ।,We can see that the output is similar to our C program.
2928,"Clone, Healing, Perspective clone इत्यादीनि अपि च Blur/sharpen अथवा dodge/burn इतीमानि साधनानि brushes इत्यस्य विकल्पाः विद्यन्ते ।","The Clone tool, the Healing tool , the Perspective clone tool and even tools like Blur/sharpen or dodge/burn have the option of brushes."
2929,enter नुदतु येन संपूर्ण-आवलिं द्रष्टुं शक्नुम:,Press Enter to scroll through the list.
2930,बाल: एतेषु मैत्रीं करोति ।,Boy has friendship on those all.
2931,‘CD/DVD रीडर-रैटर’ अपि च,a CD/DVD reader-writer and
2932,पुनः Checkout/Return Book इत्यत्र क्लिक् करोतु ।,Again click on Checkout/Return Book.
2933,वयं श्लोकं स्मरिष्यामः ।,We all will remember the shloka.
2934,"Crystal View Options मेन्यू, दक्षिणपार्श्वे लोड् जायते ।",Crystal View Options menu gets loaded on the right.
2935,खनिजं लवणम् ----- अभावरोग:,Mineral salts ----- deficiency disease
2936,अनन्तरं यीशुः पुन र्भजनगृहं प्रविष्टस्तस्मिन् स्थाने शुष्कहस्त एको मानव आसीत्।,And he entered again into the synagogue; and there was a man there which had a withered hand.
2937,ग. अधोलिखितेषु का उक्ति: समीचीना का च असमीचीना इति लिखतु।,C. State whether the following statements are true or false:
2938,"सञ्चिकायाः एतत् ऐकान् उपरि क्लिक् कुर्वन्तु । अपि च File name फील्ड् मध्ये, Excel फैल् कृते ब्रौस् कुर्वन्तु ।",Click on this icon for the Folder and browse for the Excel file in the field for File name.
2939,अत्र ट्युटोरियल् इत्यस्य अवलोकनं वर्तते ।,Here is a glimpse of the tutorial.
2940,"औत्सर्गिकतया, यत्किमपि न्यू कोर्स् इतीदं अस्मै Miscellaneous category इत्यस्मै असैन् क्रियते ।","Any new course will be assigned to this Miscellaneous category, by default."
2941,स्यूतौ स्तः ।,Bags are.
2942,स्थूलकायता अपि एको रोगोऽस्ति इति भवान जानाति वा ?,Do you know that obesity is also a disease?
2943,बाल: अस्मासु कृपां प्रकटयति ।,Boy displays compassion in us all.
2944,तत् दूरदर्शनम् |,That is a television.
2945,एतेषां विकल्पानां पुनरावलोकनात् प्राक् वयं Ellipse इति चयनस्य विषये चर्चयामः ।,"Before having a recap of these options, we will talk about Ellipse selection."
2946,"student role इतीदम् केवलम् असैन् कृतान् यूसर्स् दर्शयितुं, इमाम् आवलिं फ़िल्टर् करोति ।",This will filter the list to show only the users who have student role assigned to them.
2947,"अहं Xfig आवृत्तिः 3.2, patch level 5 अनयोः उपयोगं करोमि ।","I shall use Xfig version 3.2, patch level 5."
2948,अधुना वयम् उपयोक्तृसंज्ञायाः नाशनम् (delete) कथं करणीयम् इति ज्ञास्यामः।,"Now, let us learn how to delete a user account."
2949,इदं लोगो युष्मभ्यः Code Files लिङ्क्-मध्ये उपलभ्यते ।,This logo has been provided to you in the Code Files link.
2950,तस्य जाया द्वाविमौ निर्दोषौ प्रभोः सर्व्वाज्ञा व्यवस्थाश्च संमन्य ईश्वरदृष्टौ धार्म्मिकावास्ताम्।,"""And they were both righteous before God, walking in all the commandments and ordinances of the Lord blameless."""
2951,इदमपाकर्तुं Ctrl तथा Z कीलके नुदन्तु ।,Press Ctrl + Z to undo this action.
2952,याकूब् निजपुत्राय यूषफे यां भूमिम् अददात् तत्समीपस्थायि शोमिरोणप्रदेशस्य सुखार् नाम्ना विख्यातस्य नगरस्य सन्निधावुपास्थात्।,"""Then cometh he to a city of Samaria, which is called Sychar, near to the parcel of ground that Jacob gave to his son Joseph."""
2953,"* सञ्चिकाः अपि च सन्धारिकाश्च उपारोपयितुम् ,",Uploading files & folders and
2954,सा गातुम् ऐच्छत् ।,She liked to sing.
2955,जावा मध्ये क्लास इत्यस्य अपि च सञ्चिकायाः नामनी समाने भवेताम्।,"In Java, the name of the class and the file name should be same."
2956,"एवमेव वयम्, 'Folder upload' विकल्पं चित्वा, ‘Drive’इत्यस्मिन् सञ्चयं (फोल्डर् इतीदं) उपारोपणं कर्तुं शक्नुमः ।","In the same way, we can upload a folder on the Drive using the Folder Upload option."
2957,अद्यत्वे ‘नॉंन-स्टिच’ तप्तिका: अपि उपलब्धा: सन्ति येषु भोजनं संश्लिष्टं न भवति ।,for example tavas today can be seen made in non- stick so that the food does not stick to it.
2958,गोशालाया: निर्माणं मुख्यरूपेण स्थानोपलब्धपदार्थै: भवितव्यम ।,Goshalas are prepared mostly using locally available raw material.
2959,यूयं नानाविधनूतनशिक्षाभि र्न परिवर्त्तध्वं यतोऽनुग्रहेणान्तःकरणस्य सुस्थिरीभवनं क्षेमं न च खाद्यद्रव्यैः। यतस्तदाचारिणस्तै र्नोपकृताः।,"""Be not carried about with divers and strange doctrines. For it is a good thing that the heart be established with grace; not with meats, which have not profited them that have been occupied therein."""
2960,"द्वे ओपनिङ्ग् एङ्गल् ब्रेकेट्स् टङ्कयित्वा, अत्र ब्रेकेट्स् उद्घाटयन्तु ।","Type two opening angle brackets, delete the bracket here."
2961,ज्ञाते अस्मिन तत्त्वे कैश्चित देशै: डी.डी.टी. इत्यस्मिन प्रतिबन्ध: स्थापित:।,After this information some countries banned D.D.T.
2962,आत्मपुत्रं न रक्षित्वा योऽस्माकं सर्व्वेषां कृते तं प्रदत्तवान् स किं तेन सहास्मभ्यम् अन्यानि सर्व्वाणि न दास्यति?,"""He that spared not his own Son, but delivered him up for us all, how shall he not with him also freely give us all things?"""
2963,अधिकविचाराय contact@spoken-tutorial.org इत्यत्र अस्मान् सम्पर्कयन्तु।,"For more details, please write to contact@spoken-tutorial.org"
2964,3. इदं शिरसि करोट्याम सुरक्षिततया भवति।,3. Brain is safe inside the skull
2965,"""येन प्रकारेण माता स्व-बालकाणां, शुचक: स्व-बालकाणांए गौ स्व-बालकाणांए च श्वान: स्व: (बालकाणां) अनुजानां च भोजन: ददाति । तेन प्रकारेण प्रकृति: अपि वयं भोजनं ददाम:।""","""The mother feeds the baby, dog feeds puppies, cow feeds calves, eagle feeds the little ones, nature feeds all of us."""
2966,अपरं निर्बन्धं परिशीलयामः।,We will check another condition.
2967,यूयं कुतोऽन्यायसहनं क्षतिसहनं वा श्रेयो न मन्यध्वे?,"""Now therefore there is utterly a fault among you, because ye go to law one with another. Why do ye not rather take wrong? why do ye not rather suffer yourselves to be defrauded?"""
2968,आगच्छन्त पश्याम: यत त्तिकटम्बोडयं किम् भोजनं करियान्ति।,Let us have a look at what these three families are eating.
2969,युष्मानाहं यथार्थतरं वदामि यो जनो मम वाक्यं श्रुत्वा मत्प्रेरके विश्वसिति सोनन्तायुः प्राप्नोति कदापि दण्डबाजनं न भवति निधनादुत्थाय परमायुः प्राप्नोति।,"""Verily, verily, I say unto you, He that heareth my word, and believeth on him that sent me, hath everlasting life, and shall not come into condemnation; but is passed from death unto life."""
2970,भवान् कुरुताम् ।,You please do.
2971,"Content इतीदं Introduction to evolutes and involutes इति टङ्कयामि । भवत्सु पाठस्य टिप्पण्यः वर्तन्ते चेत् (lecture note), भवन्तः तत् कोपि पेस्ट् कर्तुं शक्नुवन्ति ।","Type the Content as Introduction to evolutes and involutes. You can copy and paste your lecture note, if any."
2972,अधुना केचन केशविन्यासान् योजयाम । तत्कर्तुम् इमेज् चित्वा Nodes टूल् उपरि नुदन्तु ।,"Now let us add some hair-style. To do so, select the image and click on the Nodes tool."
2973,"""भोजने तानि तत्त्वानिउपलब्धानि भवन्ति यानि अस्माकं शरीराय आवश्यकं भवति, तानि चपोषकतत्त्वानि इति उच्यते।""",All the elements found in foodwhich are essential for our body are called nutrients.
2974,Moodle 3.3 तथा Firefox वेब् ब्रौसर् इत्येतेषां विनियोगं करोमि ।,Moodle 3.3 and Firefox web browser.
2975,"""साँस लेते समय, दाएं पैर को बाएँ से दूर ले जाकर पैरों को लगभग एक मीटर दूर फैलाएँ ।""",While inhaling spread the legs apart by about a meter by moving the right leg away from the left.
2976,"पश्चात्, 6,6 इण्डेक्स् मूल्ययुतम् एकं नेनो-ट्यूब् रचयामि ।","Next I will build a nanotube with 6,6 index values."
2977,उन्होंने यह ज्ञान गोरखनाथ और अन्य को दिया ।,He gave it to Gorakhnath and others.
2978,"final वेरियेबल् name इत्यस्य इनिशियलैस्ड् वेल्यू, अर्थात् “sneha” इतीदं निष्कासयन्तु ।","Remove the initialization of final variable name. That is, remove “sneha”."
2979,"अतोऽत्र else, इति टङ्कयित्वा अग्रिमपङ्क्तौ if ब्रेकेट् मध्ये testScore greater than or equal to 60 AND (&&) testScore lesser than or equal to 70 इति टङ्कयन्तु ।","So type here, else, next line, if within brackets testScore greater than or equal to 60 AND (&&) testScore less than or equal to 70."
2980,तदानीं शिष्येषु तस्य समीपमागतेषु तेन तेभ्य एषा कथा कथ्याञ्चक्रे।,"""And he opened his mouth, and taught them, saying,"""
2981,"ScrapBook विषये अधिकं ज्ञातुं, तं सेलेक्ट् कृत्वा More (मोर्)इत्यस्य उपरि नुदन्तु ।","To learn more about ScrapBook, select it and click More."
2982,प्रथमं द्वे इतेदं चित्वा टूल् कण्ट्रोल् बार् मध्ये toggle super script ऐकान् नुदन्तु ।,Select the first 2. Go to Tool controls bar. Click on Toggle Superscript icon.
2983,"अन्ते फलितं परीक्षितुं, mainमेथड्-युतं Demoक्लास् रचयन्तु ।",Finally create a Demo class containing the main method to verify the results.
2984,printf स्टेट्मेण्ट् इतीदं cout इति अपि च scanf स्टेट्मेण्ट् cin इति च परिवर्तितम् ।,The printf statement is replaced by cout and the scanf statement is replaced by cin.
2985,%ld इतीदं लोङ्ग् इण्ट् इत्यस्य फ़ोर्मेट् स्पेसिफ़ैयर् वर्तते ।,%ld is a format specifier for the long int.
2986,"किन्तु, मया linux इत्येतदर्थं codec H 264 इत्यस्य उचितं सस्करणं (version) न प्राप्तम् ।",But I didn’t find this codec H 264 for linux in a free version.
2987,स्मरन्तु यत् अस्माकं फ़ैल् नेम् scope.c इत्यस्ति ।,Note that our file name is scope.c.
2988,आंखों में बनने वाले दबाव को कम होते हुए महसूस करें ।,Feel the changes in the eye-decreased pressure in the eyes.
2989,Remove इत्यत्र नुत्त्वा अस्माभिः टङ्कितशब्दं वाक्यं वा मार्जयितुं शक्नुमः।,"We can remove the word or sentence typed, by clicking Remove."
2990,अधुना Tool controls bar इत्यस्योत्तरे स्थितानि चत्वारि ऐकान्स् कथमुपयुज्यते इति जानाम ।,Let us learn how to use next 4 icons on the Tool controls bar.
2991,"Print लिङ्क् इतीदं आयव्ययस्य मुद्रापणाय उपयुक्तं भवति, येन भविष्यत्काले अवलोकनं साध्यं भवति ।",Print link is to get a print-out of this transaction for our future reference.
2992,"""अपरं यूयं यत् पुरं यञ्च ग्रामं प्रविशथ, तत्र यो जनो योग्यपात्रं तमवगत्य यानकालं यावत् तत्र तिष्ठत।""","""And into whatsoever city or town ye shall enter, inquire who in it is worthy; and there abide till ye go thence."""
2993,आपको जाॅगिंग और कूदना के तनाव व थकान को कम करता है ।,relieves the strain of jogging and jumping
2994,उपरितन ‘ruler’ इत्यनेन वयमिदमेव कार्यविधानं कर्तुं प्रयतामहे ।,Let’s try to do the same procedure from the ruler on the top.
2995,"भवतां सहभागित्वं, सूचनाश्च वयं स्वागतीकुर्मः ।",We welcome your participation and also your feedback.
2996,"""अपरञ्च ये जना मेषवेशेन युष्माकं समीपम् आगच्छन्ति, किन्त्वन्तर्दुरन्ता वृका एतादृशेभ्यो भविष्यद्वादिभ्यः सावधाना भवत, यूयं फलेन तान् परिचेतुं शक्नुथ।""","""Beware of false prophets, which come to you in sheep's clothing, but inwardly they are ravening wolves."""
2997,तत् दीर्घवृत्तस्योपरि स्थापयन्तु ।.,Keep it in the centre of the ellipse.
2998,नितम्बस्य पार्श्वे पार्ष्णीम आनयन एताम एकवारं भ्रामयेत । पादं दण्डवत कुर्यात ।,"""Bend it once, bringing the heel near the buttock. Straighten the leg."""
2999,मन्दिरे द्वौ दण्डदीपौ अर्चकः चालयति ।,In the temple the priest switches on two tube lights.
3000,अनेकानि पर्णानि युगपत् द्रष्टुं संसूचके टङ्कयतु,"To get a multi-page display, just type at the prompt:"
3001,अभ्यास के दौरान दाएं नथुने को हर समय बंद रखें ।,Keep the right nostril closed all the time during the practice.
3002,sort numbers dot txt इति आदेशः number dot txt इति सञ्चिकाम् आरोहणक्रमेण वर्गीकरोति।,sort numbers dot txt. This would sort our numbers dot txt file in ascending order.
3003,"एतेन, .mrk file एतत् निर्दिष्ट-लोकेशन् मध्ये, तन्नाम Downloads फोल्ड्रर् मध्ये यशस्वितया रक्षितमस्ति ।","With this, .mrk file has been successfully saved in the directed location which is the Downloads folder."
3004,सा सूची,That is a needle.
3005,"अथवा, BEGIN विभागे FS वेरियेबल् उपयुज्य, इदं रीसेट्-कर्तुं शक्नुमः ।","Or else, we can reset this in the BEGIN section with the use of FS variable."
3006,दुर्योधनः अपि नगरं गतवान् ।,Duryodhana also went to the city.
3007,जननी शाकं कर्तयित्वा पाकं करोति ।,"""Having cut vegetables, mother cooks."""
3008,पितामही कृष्णस्य नामं जपितवती ।,Paternal grandmother chanted Krishna's name.
3009,सर्पाः शाखासु सञ्जरन्ति ।,Snakes are roaming on the branches.
3010,"भवताम् इण्टर्फ़ेस् उपरि विद्यामानं Browse / Choose a file गण्डं नुदन्तु । अरक्षितं सञ्चयं ब्रौस् कृत्वा, CSV सञ्चिकां चिन्वन्तु ।",Click on Browse / Choose a file button whichever appears on your interface. Browse to the saved folder and select the CSV file.
3011,2. लौहतत्त्वम अस्माकं शरीरे किमर्थं अपेक्षते?,2. why is iron important for us?
3012,मूलस्य कायंअवशोषितस्य काण्डेषु शाखासु प्रेषणम ।,and providing food to the upper stemand branch etc.
3013,वयं रचनायाः IR स्पेक्ट्रम् इतीदमपि पश्यामः ।,We can also view the IR-spectrum for the structure.
3014,सूर्यदेव: सप्ताश्वा: अकर्षित: स्वर्णिमं रथे यानं करोति।,"""Horses The sun god, Surya, mounts on a golden chariot, pulled by seven white horses."""
3015,"""शारीरिक रूप से, यह आपके लचीलेपन, शक्ति, समन्वय और शरीर की जागरूकता को बढ़ाता है ।""","""Physically, it enhances your flexibility, strength, coordination, and body awareness"""
3016,पत्राणां कार्याणि,Functions of leaves
3017,"नाना मिल्लर् प्लेन्स् दर्शयितुम्,","show various Miller planes,"
3018,"एतत्, अधिकृत-उपयोक्तृभ्यः, Library Management System इत्यत्र लागिन् - करणाय अनुमन्यते ।",It will allow authenticated users to login to the Library Management System.
3019,पाठं सद्यः स्थगयित्वा इमम् अभ्यासम् कुर्मः ।,Pause this tutorial and do this assignment.
3020,अत्र अस्माकं ट्युटोरियल् समाप्यते ।,This brings us to the end of this tutorial.
3021,"अतः, आदेशसंसूचके javac space TestProgram dot java इत्यि टङ्कयन्तु।","So, at the command prompt, type: javac space TestProgram dot java."
3022,इत्युच्चैः कथयित्वा वसनानि परित्यज्य गगणं प्रति धूलीरक्षिपन्,"""And as they cried out, and cast off their clothes, and threw dust into the air,"""
3023,व्यूहाः सन्ति ।,Structures are there.
3024,"""अस्य प्रमुखाभ्यासा: सन्ति - हायो स्ट्रैचश्वास:, सम्यक पादम उत्थाय श्वासग्रहणम तथा शंशाकासने श्वसनम ।""","""The Practices include Hands Stretch breathing, straight leg raise breathing and Shashankasana Breathing."""
3025,"वयं पश्याम: यत् एतत् न भवति ,उद्घाटित-संधारिका क्रमश: निष्कासनीय-संधारिकाया: उपरि नास्ति",We see it can't be done because the current directory is not hierarchically above the directory to be removed.
3026,वयम् एतदर्थं कोड् पश्यामः ।,We will see the code for this.
3027,"द्वितीयं, सञ्चिका फार्मेट् सूचयति ।",The second specifies the file format.
3028,"भवताम् आवश्यकतानुसारं, Repeatable: निमित्तं चेक्-बाक्स् अभिजानन्तु ।","As per your requirement, check the check-box for Repeatable:"
3029,सर्वासुनिलय: सम्पूर्णप्राणा: यस्मिन जीवरूपाश्रये लीना: भवन्ति,Sarvasu-nilayo: He in whose form as the Jiva all the vital energy or Prana of all living beings dissolves.
3030,इदमस्माकं फ़ङ्क्षन् वर्तते ।,This is our main() function.
3031,पदवीपूर्व-जीवरसायनशास्त्रम् अथवा बयोइन्फर्म्याटिक्स्,undergraduate Biochemistry or Bioinformatics
3032,"डीफोल्ट् रूपेण, RGB टेब् चितं वर्तते ।","By default, RGB tab is selected."
3033,आस्टरिक् चिह्नम् उपयुज्य 75(पञ्चसप्ततिं) 5 (पञ्चेन) गुण्यमानं पश्यामः ।,we see that by using asterisk (*) we could multiply 75 by 5.
3034,एतत्तृतीयवारम् अहं युष्मत्समीपं गच्छामि तेन सर्व्वा कथा द्वयोस्त्रयाणां वा साक्षिणां मुखेन निश्चेष्यते।,This is the third time I am coming to you. In the mouth of two or three witnesses shall every word be established.
3035,धीरे-धीरे हिप और पैरों को नीचे की ओर लाऐं ।,"""slowly lower the buttocks and legs,"""
3036,"""तेन सत्पुरुषस्य हाबिलो रक्तपातमारभ्य बेरिखियः पुत्रं यं सिखरियं यूयं मन्दिरयज्ञवेद्यो र्मध्ये हतवन्तः, तदीयशोणितपातं यावद् अस्मिन् देशे यावतां साधुपुरुषाणां शोणितपातो ऽभवत् तत् सर्व्वेषामागसां दण्डा युष्मासु वर्त्तिष्यन्ते।""","""That upon you may come all the righteous blood shed upon the earth, from the blood of righteous Abel unto the blood of Zacharias son of Barachias, whom ye slew between the temple and the altar."""
3037,menu bar इत्यस्य अधस्तन-सङ्केत-स्थले टङ्कयतु - www.rediff.com,"In the Address bar, below the menu bar, type: www.rediff.com."
3038,केचनआवश्यकतामतिक्रम्य भोजनं कुर्वन्ति तथा कायिकश्रममपि न कुर्वन्त ।,"""Some people eatmore than required and do less physical activity,"""
3039,अत्र वयं Eclipse IDE इतीदं पश्यामः। अधुना किञ्चन प्रोजेक्ट् योजयामः।,And here we have Eclipse IDE. Now let us add a project.
3040,"मेथड् इत्यस्य संरचना,",To create a method.
3041,"सीक्वेन्स्-तः द्वितीयस्ट्रिङ्ग् निष्कासयितुम्, अप्-आरो (up-arrow) की नुदन्तु कमाण्ड् एवम् edit कुर्वन्तु ।","To extract the second string from the sequence, press up-arrow key and edit the command as follows:"
3042,पश्चाद्वयं स्ट्रिङ्ग् मुद्रापयामः ।,Then we print the string.
3043,"तस्मात्, अत्र प्रशिक्षणं स्थगयतु, पूर्वतने प्रशिक्षणे यथा विवृतं तद्वत् किञ्चन नूतनं सर्व्लेट् निर्मातु ।","So, pause the tutorial here and create a new servlet as explained in the earlier tutorial."
3044,अहम् अन्यचित्रैः सह कार्यं समापितवान् । अहं rulers इत्यस्य उपरि पुनः रङ्गसेचनं कृतवान् । तत् अहम् अत्रापि कर्तुं शक्नोमि ।,I have finished with the other images and you can see here I have over painted over the rulers and I can do that here too.
3045,पृष्ठबलेन लेटयित्वा करणीयानि आसनानि - एतानि पृष्ठबलेन लेटयित्वा मुखमुपरि कृत्वा करणीयानि आसनानि सन्ति ।,• Supine Asanas - Supine Asanas refers to lying in a face up position supported by your back.
3046,भवन्त: अहं तथा तथा तस्यस्रोतानां विषये ऽपि ज्ञातवन्त: ।,We also learn about source of ego and greed.
3047,borrowed books इत्यस्मिन् पृष्ठे अपरा आवलिः अस्ति ।,"In the borrowed books page, we have one more list."
3048,"""सृष्टे: उत्पत्ति: एतै: पञ्चमहाभूतै: अभवत् अस्मिन् विषये भवन्त: स्वमाता-पिता,पितामह:-पितामही, मतामह:-मातामही अथवा परिवारस्य वृद्धजनै: सह अपि वार्तां कर्तुं शक्नवन्ति ।""","""The creation has originated from these five great elements. On this subject, you can also talk to your parents, grandparents or any elder member of the family."""
3049,स्टेटिक् ब्लोक् मध्ये अस्माभिः ऐ डी इत्यस्य मूल्यं इनिशियलैस् क्रियते चेत् किं भविष्यतीति पश्याम ।,Let us see what happens if we initialise the value of id inside the static block.
3050,"XAMPP इत्यस्योपरि, वामतः मेन्यू मध्ये, phpMyadmin इतीदं नुदन्तु ।","On the XAMPP page, in the menu at the left, click on phpMyadmin."
3051,वयमधुना XAMPP चाल्यमानं अपि च अस्माकं सिद्धं डेटाबेस् प्राप्तवन्तः ।,We now have XAMPP running and our database is ready.
3052,"""ततः स तेषाम् एतादृशीं चिन्तां विज्ञाय कथितवान्, यूयं मनःसु कृत एतादृशीं कुचिन्तां कुरुथ?""","""And Jesus knowing their thoughts said, Wherefore think ye evil in your hearts?"""
3053,त्राटक अभ्यास के समय आपका ध्यान ज्योति पर होना चाहिए ।,"""During Trataka practice, you have to focus on the flame or jyoti intensely,"""
3054,पश्चात् Next इत्यत्र क्लिक् करोतु ।,Then click on Next.
3055,अथ मृतानामुत्थानकाले यदा त उत्थास्यन्ति तदा तेषां कस्य भार्य्या सा भविष्यति? यतस्ते सप्तैव तां व्यवहन्।,"""In the resurrection therefore, when they shall rise, whose wife shall she be of them? for the seven had her to wife."""
3056,9.2 प्रोटीन इत्यस्य स्रोतांसि,9.2 SOURCES OF PROTEIN
3057,"पाठस्यास्य ध्वन्यङ्कनकाले, दिनाङ्कः एवं दर्शितं वर्तते ।","At the time of recording this tutorial, the date is as shown on the screen."
3058,"पश्चात्, अस्यां 'ज़िप्' सञ्चिकायां विद्यमानं, moodle सञ्चये extract करणीयम् ।","Next, we have to extract the contents of this zip file into the moodle folder."
3059,"""तदानीं स कथितवान्, निजभाण्डागारात् नवीनपुरातनानि वस्तूनि निर्गमयति यो गृहस्थः स इव स्वर्गराज्यमधि शिक्षिताः स्वर्व उपदेष्टारः।""","""Then said he unto them, Therefore every scribe which is instructed unto the kingdom of heaven is like unto a man that is an householder, which bringeth forth out of his treasure things new and old."""
3060,बाल: भवत्सु प्रेमं करोति ।,Child has love in you all.
3061,वार्तां श्रुत्वा भरतः शत्रुघ्नः च प्राणान् त्यक्ष्यतः।,"""After hearing that news, Bharat and Shatrughn will give up their Prana."""
3062,"""ततस्ते प्रोचुः, योहनः फिरूशिनाञ्च शिष्या वारंवारम् उपवसन्ति प्रार्थयन्ते च किन्तु तव शिष्याः कुतो भुञ्जते पिवन्ति च?""","""And they said unto him, Why do the disciples of John fast often, and make prayers, and likewise the disciples of the Pharisees; but thine eat and drink?"""
3063,"वयं पूर्ववत् पोलिगान् रचयित्वा , हरिद्वर्णं पूरयाम ।",We will draw a polygon in a similar way and change the color to green.
3064,इमं पाठं पठित्वा भवन्त: स्वदेशस्य गौरवम अनुभविष्यन्ति।,This lesson will make you feel proud about our country.
3065,एषः दत्तांशः (कोड्) स्वयं अप्डेट् न भविष्यति ।,Note that this data is not updated automatically.
3066,उदरस्नायौ किञ्चित पीडाम अनूभूयेत ।,Feel the tension in your stomach area as the abdominal muscles contract.
3067,GUI रचनार्थं Netbeans किं प्रददाति?,What does Netbeans provide for building GUI?
3068,"अग्रे गमनात् प्राक्, भवतां यन्त्रे अधोनिर्दिष्टाः एते सर्वे सन्ति वा इति कृपया पश्यन्तु । Windows 10, 8 अथवा 7 तथा","Before moving ahead, please ensure that you have the following on your machine- Windows 10, 8 or 7,"
3069,"पश्यन्तु, अहं ‘Active’ फील्ड्-निमित्तं चेक्-बाक्स् क्लिक् न करोमि ।",Note that I will not click in the check-box for the field ‘Active’.
3070,चिक्रोडः शलाटूनां संग्रहणं करोति |,The squirrel gathers nuts.
3071,"अधुना वयं, वामपार्श्वस्थितानि मेन्यूस् इतीमानि पश्याम ।","Now, let us have a look at the left side menus."
3072,स्यूते कानि पुस्तकानि सन्ति ?,How many books are there in the bag?
3073,कामदेव: सर्वेषां प्रियतम:,"""Kamadevah: One who is desired by persons in quest of the four values of life- Dharma, Artha, Kama and Moksha."""
3074,कन्स्ट्रक्टर्-ओवर्लोडिङ्ग् नाम किम् ?,What is constructor overloading?
3075,अधुना एकं प्रोग्राम् void उपयुज्य कुर्मः ।,Let us see a program using void.
3076,बालिका संस्कृतं ज्ञात्वा सम्भाषणं करोति ।,बालिका संस्कृतं ज्ञात्वा सम्भाषणं करोति ।
3077,"""गवय: वर्णं दृष्टवा, तं ज्ञानं कर्तु शक्नोति।""",identify the colours of the cow
3078,स्पेल् चेकिङ्ग् इतीदम् उपरि दक्षिणतः आरभ्य केन्वास् इत्यस्य अन्तपर्यन्तं प्रचलति ।,Spell checking will begin with the text at the top-right and work down the canvas.
3079,एषा विद्युत: सुपरिवाहिका भवति।,metal wires are good conductor of electricity.
3080,अतः प्लगिन्स् इत्येते एक्स्टेन्षन् इत्यस्मात् भिन्नानि ।,"However, plug-ins are different from extensions."
3081,नृत्यस्य केचन प्रकारा: निम्नलिखितानि सन्ति ।,Few forms of dances are described below.
3082,अधुना दक्षिणहस्तं कीलफलकस्य दक्षिणपार्श्वे स्थापयतु।,"Now, place your right hand on the right side of the keyboard."
3083,"""तदानीं स मज्जयितारं योहनमधि कथामेतां व्याहृतवान्, इत्थं तच्छिष्या बुबुधिरे।""",Then the disciples understood that he spake unto them of John the Baptist.
3084,इमं कोड् इत्येतम् अन्यान्य सङ्ख्यया एक्सिक्यूट् कर्तुं प्रयतताम् ।,Try executing this code with different set of inputs.
3085,Notices and Slips इति किञ्चन नूतनं पुटमु्द्घाट्यते ।,A new page Notices and Slips opens.
3086,"""जब तक कोहनी सीधी न हो, तब तक पीठ को पीछे की ओर रखें ।""","""Arch the back as far as you can, until the elbows are straight."""
3087,अधुना वयं एक्लिप्स् गत्वा StaticBlockDemo इति नूतनं प्रोजेक्ट् रचयाम ।,"Now, we will switch to Eclipse and create a new project called StaticBlockDemo."
3088,"अपि च नामनियमानुसारं, यूसर् नेम् मध्ये स्पेसस् न भवेयुः ।","Also, as per naming convention, username should not have any spaces in between."
3089,तथा च भवद्भः Koha इत्यत्र Admin access अपि आवश्यकम्।,"And, you should also have Admin access in Koha."
3090,स्वच्छमस्तिष्कस्य समाजे सकारात्मको प्रभावो भवति ।,The clean mind has positive impact on society also.
3091,विवृणोमि ।,अहं विवृणोमि । i will explain.
3092,006 तथा 007 स्थानानि अहं रिक्तं त्यजामि ।,I will leave the fields for 006 and 007 as blank.
